# stable entry ID (do not change if users may have marked as known),# Swedish word (lemma),# verb | adjective | adverb | noun | numeral | etc.,# English translation,# Brazilian Portuguese translation,# semicolon-separated inflected forms for search,# optional CEFR level (A1–C2),# optional raw corpus frequency (Kelly),# optional words-per-million frequency (Kelly),# practice | kelly | manual,# example 1 Swedish sentence,# example 1 English gloss,# example 1 Portuguese gloss,# optional: past | present | future,# optional tokens: word|lemma|en|pt;word2|lemma2|en2|pt2,# example 2 Swedish (verbs: present tense),# example 2 English,# example 2 Portuguese,# example 2 tense key,# example 2 token breakdown,# example 3 Swedish (verbs: future tense),# example 3 English,# example 3 Portuguese,# example 3 tense key,# example 3 token breakdown,# optional usage note (Kelly source text)
id,lemma,type,english,portuguese,forms,cefr,frequency,wpm,source,ex1_sv,ex1_en,ex1_pt,ex1_tense,ex1_tokens,ex2_sv,ex2_en,ex2_pt,ex2_tense,ex2_tokens,ex3_sv,ex3_en,ex3_pt,ex3_tense,ex3_tokens,usage_note
verb-betyda,Betyda,verb,to mean,Significar,betyda;betydde;betyder,,,,practice,Vad betydde det?,what mean it,o quê significar isso,past,Vad|vad|what|o quê;betydde|betydde|mean|significar;det?|det|it|isso,Vad betyder det?,what mean it,o quê significar isso,present,Vad|vad|what|o quê;betyder|betyder|mean|significar;det?|det|it|isso,Vad ska det betyda?,what will it mean,o quê vai isso significar,future,Vad|vad|what|o quê;ska|ska|will|vai;det|det|it|isso;betyda?|betyda|mean|significar,
adjective-billig,Billig,adjective,cheap,Barato,billig,,,,practice,Maten är billig.,the food is cheap,a comida estou barato,,Maten|mat|the food|a comida;är|är|is|estou;billig.|billig|cheap|barato,,,,,,,,,,,
verb-bli,Bli,verb,to become / get,Receber/Ficar,bli;blev;glada;blir,,,,practice,Ni blev glada.,you (pl.) become become,vocês receber felizes (pl.),past,Ni|ni|you (pl.)|vocês;blev|blev|become|receber;glada.|glada|become|felizes (pl.),Ni blir glada.,you (pl.) become become,vocês receber felizes (pl.),present,Ni|ni|you (pl.)|vocês;blir|blir|become|receber;glada.|glada|become|felizes (pl.),Ni ska bli glada.,you (pl.) will become become,vocês vai receber felizes (pl.),future,Ni|ni|you (pl.)|vocês;ska|ska|will|vai;bli|bli|become|receber;glada.|glada|become|felizes (pl.),
verb-bo,Bo,verb,to live (reside),Morar,bo;bodde;bor,,,,practice,Han bodde här.,he live (reside) here,ele morar aqui,past,Han|han|he|ele;bodde|bodde|live (reside)|morar;här.|här|here|aqui,Han bor här.,he live here,ele moramos aqui,present,Han|han|he|ele;bor|bor|live|moramos;här.|här|here|aqui,Han ska bo här.,he will live (reside) here,ele vai morar aqui,future,Han|han|he|ele;ska|ska|will|vai;bo|bo|live (reside)|morar;här.|här|here|aqui,
adjective-bra,Bra,adjective,good,Bom,bra,,,,practice,Det är bra.,it is good,isso estou bem,,Det|det|it|isso;är|är|is|estou;bra.|bra|good|bem,,,,,,,,,,,
adjective-bred,Bred,adjective,wide,Largo,bred,,,,practice,Vägen är bred.,the road is wide,o caminho estou largo,,Vägen|väg|the road|o caminho;är|är|is|estou;bred.|bred|wide|largo,,,,,,,,,,,
adjective-bred-2,Bred,adjective,wide,Largo,bred,,,,practice,Sängen är bred.,the bed is wide,a cama estou largo,,Sängen|säng|the bed|a cama;är|är|is|estou;bred.|bred|wide|largo,,,,,,,,,,,
verb-borja,Börja,verb,to begin,Começar,börja;började;börjar,,,,practice,De började boken.,they begin the book,eles começar o livro,past,De|de|they|eles;började|började|begin|começar;boken.|boken|the book|o livro,De börjar boken.,they begin the book,eles começar o livro,present,De|de|they|eles;börjar|börjar|begin|começar;boken.|boken|the book|o livro,De ska börja boken.,they will begin the book,eles vai começar o livro,future,De|de|they|eles;ska|ska|will|vai;börja|börja|begin|começar;boken.|boken|the book|o livro,
verb-dansa,Dansa,verb,to dance,Dançar,dansa;dansade;dansar,,,,practice,Ni dansade bra.,you (pl.) dance good,vocês dançar bem,past,Ni|ni|you (pl.)|vocês;dansade|dansade|dance|dançar;bra.|bra|good|bem,Ni dansar bra.,you (pl.) dance good,vocês dançar bem,present,Ni|ni|you (pl.)|vocês;dansar|dans|dance|dançar;bra.|bra|good|bem,Ni ska dansa bra.,you (pl.) will dance good,vocês vai dançar bem,future,Ni|ni|you (pl.)|vocês;ska|ska|will|vai;dansa|dansa|dance|dançar;bra.|bra|good|bem,
adjective-djup,Djup,adjective,deep,Profundo,djup,,,,practice,Sjön är djup.,the lake is deep,o lago estou profundo,,Sjön|sjö|the lake|o lago;är|är|is|estou;djup.|djup|deep|profundo,,,,,,,,,,,
verb-dricka,Dricka,verb,to drink,Beber,dricka;drack;dricker;v,,,,practice,Han drack vatten.,he drink water,ele beber água,past,Han|han|he|ele;drack|drack|drink|beber;vatten.|vatten|water|água,Han dricker vatten.,he drink water,ele beber água,present,Han|han|he|ele;dricker|dricker|drink|beber;vatten.|vatten|water|água,Han ska dricka v.,he will drink drink,ele vai beber beber,future,Han|han|he|ele;ska|ska|will|vai;dricka|dricka|drink|beber;v.|v|drink|beber,
adjective-dyr,Dyr,adjective,expensive,Caro,dyr,,,,practice,Den är för dyr.,it is too expensive,ela estou demasiado caro,,Den|den|it|ela;är|är|is|estou;för|för|too|demasiado;dyr.|dyr|expensive|caro,,,,,,,,,,,
adjective-dyr-2,Dyr,adjective,expensive,Caro,dyr,,,,practice,Klockan är dyr.,the clock is expensive,o relógio estou caro,,Klockan|klockan|the clock|o relógio;är|är|is|estou;dyr.|dyr|expensive|caro,,,,,,,,,,,
adjective-dalig,Dålig,adjective,bad,Mau,dålig,,,,practice,Filmen var dålig.,the movie was bad,o filme estava mau,,Filmen|film|the movie|o filme;var|var|was|estava;dålig.|dålig|bad|mau,,,,,,,,,,,
adverb-dar,Där,adverb,there,Lá/Ali,där,,,,practice,Vem bor där?,who live there,quem mora lá,,Vem|vem|who|quem;bor|bor|live|mora;där?|där|there|lá,,,,,,,,,,,
adverb-darefter,Därefter,adverb,afterwards,Logo depois,därefter,,,,practice,Vi äter därefter.,we eat afterwards,nós comemos logo depois,,Vi|vi|we|nós;äter|äter|eat|comemos;därefter.|därefter|afterwards|logo depois,,,,,,,,,,,
verb-do,Dö,verb,to die,Morrer,dö;dog;av;dör,,,,practice,Vi dog av skratt.,we die die laughter,nós morrer morrer riso,past,Vi|vi|we|nós;dog|dog|die|morrer;av|av|die|morrer;skratt.|skratt|laughter|riso,Vi dör av skratt.,we die die laughter,nós morrer morrer riso,present,Vi|vi|we|nós;dör|dör|die|morrer;av|av|die|morrer;skratt.|skratt|laughter|riso,Vi ska dö av skratt.,we will die die laughter,nós vai morrer morrer riso,future,Vi|vi|we|nós;ska|ska|will|vai;dö|dö|die|morrer;av|av|die|morrer;skratt.|skratt|laughter|riso,
adjective-elak,Elak,adjective,cruel,Cruel,elak,,,,practice,Han är elak.,he is cruel,ele estou cruel,,Han|han|he|ele;är|är|is|estou;elak.|elak|cruel|cruel,,,,,,,,,,,
adjective-ensam,Ensam,adjective,alone,Sozinho,ensam,,,,practice,Är du ensam?,is you alone,você está? você sozinho,,Är|är|is|você está?;du|du|you|você;ensam?|ensam|alone|sozinho,,,,,,,,,,,
adverb-ensam,Ensam,adverb,alone,Sozinho,ensam,,,,practice,Jag är ensam.,I is alone,eu estou sozinho,,Jag|jag|I|eu;är|är|is|estou;ensam.|ensam|alone|sozinho,,,,,,,,,,,
verb-falla,Falla,verb,to fall,Cair,falla;föll;faller,,,,practice,Ni föll ner.,you (pl.) fall down,vocês cair para baixo,past,Ni|ni|you (pl.)|vocês;föll|föll|fall|cair;ner.|ner|down|para baixo,Ni faller ner.,you (pl.) fall down,vocês cair para baixo,present,Ni|ni|you (pl.)|vocês;faller|fall|fall|cair;ner.|ner|down|para baixo,Ni ska falla ner.,you (pl.) will fall down,vocês vai cair para baixo,future,Ni|ni|you (pl.)|vocês;ska|ska|will|vai;falla|falla|fall|cair;ner.|ner|down|para baixo,
adjective-farlig,Farlig,adjective,dangerous,Perigoso,farlig,,,,practice,Hunden är farlig.,the dog is dangerous,o cachorro estou perigoso,,Hunden|hund|the dog|o cachorro;är|är|is|estou;farlig.|farlig|dangerous|perigoso,,,,,,,,,,,
adjective-fattig,Fattig,adjective,poor,Pobre,fattig,,,,practice,Han är fattig.,he is poor,ele estou pobre,,Han|han|he|ele;är|är|is|estou;fattig.|fattig|poor|pobre,,,,,,,,,,,
adjective-fattig-2,Fattig,adjective,poor,Pobre,fattig;fattigt,,,,practice,Landet är fattigt.,the country is poor,o país estou pobre,,Landet|landet|the country|o país;är|är|is|estou;fattigt.|fattig|poor|pobre,,,,,,,,,,,
adjective-fel,Fel,adjective,wrong,Errado,fel,,,,practice,Svaret är fel.,the answer is wrong,a resposta estou errado,,Svaret|svaret|the answer|a resposta;är|är|is|estou;fel.|fel|wrong|errado,,,,,,,,,,,
adjective-fin,Fin,adjective,beautiful / fine,Bonito,fin,,,,practice,Klänningen är fin.,the dress is beautiful,o vestido estou bonito,,Klänningen|klänning|the dress|o vestido;är|är|is|estou;fin.|fin|beautiful|bonito,,,,,,,,,,,
adverb-fortfarande,Fortfarande,adverb,still,Ainda,fortfarande,,,,practice,Jag väntar fortfarande.,I wait still,eu espero ainda,,Jag|jag|I|eu;väntar|vänt|wait|espero;fortfarande.|fortfarande|still|ainda,,,,,,,,,,,
verb-fortsatta,Fortsätta,verb,to continue,Continuar,fortsätta;fortsatte;fortsätter;l,,,,practice,Hon fortsatte läsa.,she continue read,ela continuar ler,past,Hon|hon|she|ela;fortsatte|fortsatte|continue|continuar;läsa.|läsa|read|ler,Hon fortsätter läsa.,she continue read,ela continuar ler,present,Hon|hon|she|ela;fortsätter|fortsatt|continue|continuar;läsa.|läsa|read|ler,Hon ska fortsätta l.,she will continue continue,ela vai continuar continuar,future,Hon|hon|she|ela;ska|ska|will|vai;fortsätta|fortsätta|continue|continuar;l.|l|continue|continuar,
adverb-framme,Framme,adverb,in front / ahead,Na frente,framme,,,,practice,Titta framme.,look in the destination,olha no destino,,Titta|titta|look|olha;framme.|framme|in the destination|no destino,,,,,,,,,,,
adjective-frisk,Frisk,adjective,healthy,Saudável,frisk;friskt,,,,practice,Barnet är friskt.,the child is healthy,a criança estou saudável,,Barnet|barnet|the child|a criança;är|är|is|estou;friskt.|frisk|healthy|saudável,,,,,,,,,,,
verb-fraga,Fråga,verb,to ask,Perguntar,fråga;frågade;frågar,,,,practice,Jag frågade varför.,I ask why,eu perguntar por que,past,Jag|jag|I|eu;frågade|frågade|ask|perguntar;varför.|varför|why|por que,Jag frågar varför.,I ask why,eu perguntar por que,present,Jag|jag|I|eu;frågar|frågar|ask|perguntar;varför.|varför|why|por que,Jag ska fråga varför.,I will ask why,eu vai perguntar por que,future,Jag|jag|I|eu;ska|ska|will|vai;fråga|fråga|ask|perguntar;varför.|varför|why|por que,
adjective-full,Full,adjective,full,Cheio,full;fullt,,,,practice,Glaset är fullt.,the glass is full,o copo estou cheio,,Glaset|glaset|the glass|o copo;är|är|is|estou;fullt.|full|full|cheio,,,,,,,,,,,
verb-fa,Få,verb,to receive / get,Receber,få,,,,practice,Ni fick glass.,you (pl.) receive ice cream,vocês receber sorvete,past,Ni|ni|you (pl.)|vocês;fick|fick|receive|receber;glass.|glass|ice cream|sorvete,Ni får glass.,you (pl.) receive ice cream,vocês receber sorvete,present,Ni|ni|you (pl.)|vocês;får|får|receive|receber;glass.|glass|ice cream|sorvete,Ni ska få glass.,you (pl.) will receive ice cream,vocês vai receber sorvete,future,Ni|ni|you (pl.)|vocês;ska|ska|will|vai;få|få|receive|receber;glass.|glass|ice cream|sorvete,
verb-forklara,Förklara,verb,to explain,Explicar,förklara;förklarade;förklarar,,,,practice,Du förklarade allt.,you explain everything,você explicar tudo,past,Du|du|you|você;förklarade|förklarade|explain|explicar;allt.|allt|everything|tudo,Du förklarar allt.,you explain everything,você explicar tudo,present,Du|du|you|você;förklarar|förklarar|explain|explicar;allt.|allt|everything|tudo,Du ska förklara allt.,you will explain everything,você vai explicar tudo,future,Du|du|you|você;ska|ska|will|vai;förklara|förklara|explain|explicar;allt.|allt|everything|tudo,
verb-forlora,Förlora,verb,to lose,Perder,förlora;förlorade;förlorar;m,,,,practice,De förlorade matchen.,they lose the game,eles perder o jogo,past,De|de|they|eles;förlorade|förlorade|lose|perder;matchen.|match|the game|o jogo,De förlorar matchen.,they lose the game,eles perder o jogo,present,De|de|they|eles;förlorar|förlorar|lose|perder;matchen.|match|the game|o jogo,De ska förlora m.,they will lose lose,eles vai perder perder,future,De|de|they|eles;ska|ska|will|vai;förlora|förlora|lose|perder;m.|m|lose|perder,
adverb-formodligen,Förmodligen,adverb,probably,Provavelmente,förmodligen,,,,practice,Han kommer förmodligen.,he comes probably,ele vem provavelmente,,Han|han|he|ele;kommer|kommer|comes|vem;förmodligen.|förmodligen|probably|provavelmente,,,,,,,,,,,
verb-forsta,Förstå,verb,to understand,Entender,förstå;förstod;förstår,,,,practice,Han förstod allt.,he understand everything,ele entender tudo,past,Han|han|he|ele;förstod|förstod|understand|entender;allt.|allt|everything|tudo,Han förstår allt.,he understand everything,ele entendo tudo,present,Han|han|he|ele;förstår|förstår|understand|entendo;allt.|allt|everything|tudo,Han ska förstå allt.,he will understand everything,ele vai entender tudo,future,Han|han|he|ele;ska|ska|will|vai;förstå|förstå|understand|entender;allt.|allt|everything|tudo,
verb-forsoka,Försöka,verb,to try,Tentar,försöka;försökte;försöker,,,,practice,Han försökte igen.,he try again,ele tentar de novo,past,Han|han|he|ele;försökte|försökte|try|tentar;igen.|igen|again|de novo,Han försöker igen.,he try again,ele tentar de novo,present,Han|han|he|ele;försöker|försök|try|tentar;igen.|igen|again|de novo,Han ska försöka igen.,he will try again,ele vai tentar de novo,future,Han|han|he|ele;ska|ska|will|vai;försöka|försöka|try|tentar;igen.|igen|again|de novo,
adjective-gammal,Gammal,adjective,old,Velho,gammal,,,,practice,Han är gammal.,he is old,ele estou velho,,Han|han|he|ele;är|är|is|estou;gammal.|gammal|old|velho,,,,,,,,,,,
adverb-ganska,Ganska,adverb,quite / rather,Bastante/Bem,ganska,,,,practice,Det är ganska bra.,it is quite good,isso estou bastante bom,,Det|det|it|isso;är|är|is|estou;ganska|ganska|quite|bastante;bra.|bra|good|bom,,,,,,,,,,,
adjective-glad,Glad,adjective,happy,Feliz,glad,,,,practice,Hon är glad.,she is happy,ela estou feliz,,Hon|hon|she|ela;är|är|is|estou;glad.|glad|happy|feliz,,,,,,,,,,,
verb-glomma,Glömma,verb,to forget,Esquecer,glömma;glömde;glömmer;n,,,,practice,Jag glömde namnet.,I forget the name,eu esquecer o nome,past,Jag|jag|I|eu;glömde|glömde|forget|esquecer;namnet.|namnet|the name|o nome,Jag glömmer namnet.,I forget the name,eu esquecer o nome,present,Jag|jag|I|eu;glömmer|glömmer|forget|esquecer;namnet.|namnet|the name|o nome,Jag ska glömma n.,I will forget forget,eu vai esquecer esquecer,future,Jag|jag|I|eu;ska|ska|will|vai;glömma|glömma|forget|esquecer;n.|n|forget|esquecer,
adjective-gratis,Gratis,adjective,free (no cost),Grátis,gratis,,,,practice,Maten är gratis.,the food is free (no cost),a comida estou grátis,,Maten|mat|the food|a comida;är|är|is|estou;gratis.|gratis|free (no cost)|grátis,,,,,,,,,,,
adjective-grund,Grund,adjective,shallow,Raso,grund,,,,practice,Poolen är grund.,the pool is shallow,a piscina estou raso,,Poolen|pool|the pool|a piscina;är|är|is|estou;grund.|grund|shallow|raso,,,,,,,,,,,
verb-grata,Gråta,verb,to cry,Chorar,gråta;grät;gråter,,,,practice,Du grät mycket.,you cry much,você chorar muito,past,Du|du|you|você;grät|grät|cry|chorar;mycket.|mycket|much|muito,Du gråter mycket.,you cry much,você chorar muito,present,Du|du|you|você;gråter|gråt|cry|chorar;mycket.|mycket|much|muito,Du ska gråta mycket.,you will cry much,você vai chorar muito,future,Du|du|you|você;ska|ska|will|vai;gråta|gråta|cry|chorar;mycket.|mycket|much|muito,
verb-ga,Gå,verb,to go / walk,Ir/Andar,gå;gick;går,,,,practice,Hon gick ut.,she go out,ela ir fora,past,Hon|hon|she|ela;gick|gick|go|ir;ut.|ut|out|fora,Hon går ut.,she go out,ela ir fora,present,Hon|hon|she|ela;går|går|go|ir;ut.|ut|out|fora,Hon ska gå ut.,she will go out,ela vai ir fora,future,Hon|hon|she|ela;ska|ska|will|vai;gå|gå|go|ir;ut.|ut|out|fora,
verb-gora,Göra,verb,to do / make,Fazer,göra;gjorde;gör,,,,practice,Han gjorde mat.,he do food,ele fazer comida,past,Han|han|he|ele;gjorde|gjorde|do|fazer;mat.|mat|food|comida,Han gör mat.,he do food,ele fazemos comida,present,Han|han|he|ele;gör|gör|do|fazemos;mat.|mat|food|comida,Han ska göra mat.,he will do food,ele vai fazer comida,future,Han|han|he|ele;ska|ska|will|vai;göra|göra|do|fazer;mat.|mat|food|comida,
verb-ha,Ha,verb,to have,Ter,ha,,,,practice,Du hade tid.,you had time,você tinha tempo,past,Du|du|you|você;hade|hade|had|tinha;tid.|tid|time|tempo,Du har tid.,you has time,você tem tempo,present,Du|du|you|você;har|har|has|tem;tid.|tid|time|tempo,Du ska ha tid.,you will have time,você vai ter tempo,future,Du|du|you|você;ska|ska|will|vai;ha|ha|have|ter;tid.|tid|time|tempo,
verb-ha-pa-sig,Ha på sig,verb,to wear,Usar (vestir),ha på sig;ha,,,,practice,De hade på sig det.,they had on oneself it,eles tinha em se (reflexivo) isso,past,De|de|they|eles;hade|hade|had|tinha;på|på|on|em;sig|sig|oneself|se (reflexivo);det.|det|it|isso,De har på sig det.,they has on oneself it,eles tem em se (reflexivo) isso,present,De|de|they|eles;har|har|has|tem;på|på|on|em;sig|sig|oneself|se (reflexivo);det.|det|it|isso,De ska ha på sig det.,they will wear on oneself it,eles vai usar (vestir) em se (reflexivo) isso,future,De|de|they|eles;ska|ska|will|vai;ha|ha|wear|usar (vestir);på|på|on|em;sig|sig|oneself|se (reflexivo);det.|det|it|isso,
verb-handla,Handla,verb,to buy,Comprar,handla;handlade;handlar,,,,practice,Hon handlade mat.,she buy food,ela comprar comida,past,Hon|hon|she|ela;handlade|handlade|buy|comprar;mat.|mat|food|comida,Hon handlar mat.,she buy food,ela comprar comida,present,Hon|hon|she|ela;handlar|handlar|buy|comprar;mat.|mat|food|comida,Hon ska handla mat.,she will buy food,ela vai comprar comida,future,Hon|hon|she|ela;ska|ska|will|vai;handla|handla|buy|comprar;mat.|mat|food|comida,
verb-hata,Hata,verb,to hate,Odiar,hata;hatade;hatar,,,,practice,De hatade kyla.,they hate cold,eles odiar frio,past,De|de|they|eles;hatade|hatade|hate|odiar;kyla.|kyla|cold|frio,De hatar kyla.,they hate cold,eles odiar frio,present,De|de|they|eles;hatar|hat|hate|odiar;kyla.|kyla|cold|frio,De ska hata kyla.,they will hate cold,eles vai odiar frio,future,De|de|they|eles;ska|ska|will|vai;hata|hata|hate|odiar;kyla.|kyla|cold|frio,
adjective-hel,Hel,adjective,whole / entire,Inteiro,hel,,,,practice,En hel dag.,a whole day,um inteiro dia,,En|en|a|um;hel|hel|whole|inteiro;dag.|dag|day|dia,,,,,,,,,,,
adverb-helt,Helt,adverb,absolutely,Absolutamente,helt,,,,practice,Det är helt rätt.,it is absolutely right,isso estou absolutamente certo,,Det|det|it|isso;är|är|is|estou;helt|helt|absolutely|absolutamente;rätt.|rätt|right|certo,,,,,,,,,,,
adverb-hemma,Hemma,adverb,at home,Em casa,hemma,,,,practice,Är du hemma?,is you at home,está você em casa,,Är|är|is|está;du|du|you|você;hemma?|hemma|at home|em casa,,,,,,,,,,,
verb-hitta,Hitta,verb,to find,Encontrar,hitta;hittade;hittar;n,,,,practice,Han hittade nyckeln.,he find the key,ele encontrar a chave,past,Han|han|he|ele;hittade|hittade|find|encontrar;nyckeln.|nyckel|the key|a chave,Han hittar nyckeln.,he find the key,ele encontrar a chave,present,Han|han|he|ele;hittar|hittar|find|encontrar;nyckeln.|nyckel|the key|a chave,Han ska hitta n.,he will find find,ele vai encontrar encontrar,future,Han|han|he|ele;ska|ska|will|vai;hitta|hitta|find|encontrar;n.|n|find|encontrar,
verb-hjalpa,Hjälpa,verb,to help,Ajudar,hjälpa;hjälpte;hjälper,,,,practice,Ni hjälpte mig.,you (pl.) help me,vocês ajudar me,past,Ni|ni|you (pl.)|vocês;hjälpte|hjälpte|help|ajudar;mig.|mig|me|me,Ni hjälper mig.,you (pl.) help me,vocês ajudar me,present,Ni|ni|you (pl.)|vocês;hjälper|hjälp|help|ajudar;mig.|mig|me|me,Ni ska hjälpa mig.,you (pl.) will help me,vocês vai ajudar me,future,Ni|ni|you (pl.)|vocês;ska|ska|will|vai;hjälpa|hjälpa|help|ajudar;mig.|mig|me|me,
verb-hoppas,Hoppas,verb,to hope,Esperar (esp.),hoppas;hoppades,,,,practice,De hoppades på tur.,they hope on luck,eles esperar (esp.) em sorte,past,De|de|they|eles;hoppades|hoppades|hope|esperar (esp.);på|på|on|em;tur.|tur|luck|sorte,De hoppas på tur.,they hope on luck,eles esperar (esp.) em sorte,present,De|de|they|eles;hoppas|hoppas|hope|esperar (esp.);på|på|on|em;tur.|tur|luck|sorte,De ska hoppas på tur.,they will hope on luck,eles vai esperar (esp.) em sorte,future,De|de|they|eles;ska|ska|will|vai;hoppas|hoppas|hope|esperar (esp.);på|på|on|em;tur.|tur|luck|sorte,
adjective-hungrig,Hungrig,adjective,hungry,Faminto,hungrig,,,,practice,Är du hungrig?,is you hungry,estás você faminto,,Är|är|is|estás;du|du|you|você;hungrig?|hungrig|hungry|faminto,,,,,,,,,,,
verb-halla,Hålla,verb,to hold,Segurar,hålla;höll;håller,,,,practice,Hon höll handen.,she hold the hand,ela segurar a mão,past,Hon|hon|she|ela;höll|höll|hold|segurar;handen.|handen|the hand|a mão,Hon håller handen.,she hold the hand,ela segurar a mão,present,Hon|hon|she|ela;håller|håll|hold|segurar;handen.|handen|the hand|a mão,Hon ska hålla handen.,she will hold the hand,ela vai segurar a mão,future,Hon|hon|she|ela;ska|ska|will|vai;hålla|hålla|hold|segurar;handen.|handen|the hand|a mão,
verb-handa,Hända,verb,to happen,Acontecer,hända;hände;händer,,,,practice,Det hände igår.,it happen yesterday,isso acontecer ontem,past,Det|det|it|isso;hände|hände|happen|acontecer;igår.|igår|yesterday|ontem,Det händer nu.,it happens now,isso acontece agora,present,Det|det|it|isso;händer|hand|happens|acontece;nu.|nu|now|agora,Det ska hända snart.,it will happen soon,isso vai acontecer logo,future,Det|det|it|isso;ska|ska|will|vai;hända|hända|happen|acontecer;snart.|snart|soon|logo,
adverb-har,Här,adverb,here,Aqui,här,,,,practice,Jag bor här.,I live here,eu moro aqui,,Jag|jag|I|eu;bor|bor|live|moro;här.|här|here|aqui,,,,,,,,,,,
