Português,Sueco,Passado (Preteritum),Presente (Presens),Futuro (Ska + Inf.),Vocabulário (Extras)
45. Localizar-se,Ligga,Han låg i sängen.,Han ligger i sängen.,Han ska ligga i s.,sängen - a cama
46. Sentir/Conhecer,Känna,Hon kände dig.,Hon känner dig.,Hon ska känna dig.,dig - te/ti
47. Encontrar(ps),Träffa,Vi träffade dem.,Vi träffar dem.,Vi ska träffa dem.,dem - eles/elas (obj.)
48. Viajar,Resa,Ni reste bort.,Ni reser bort.,Ni ska resa bort.,bort - para longe
49. Aprender,Lära,De lärde sig.,De lär sig.,De ska lära sig.,sig - se (reflexivo)
50. Esquecer,Glömma,Jag glömde namnet.,Jag glömmer namnet.,Jag ska glömma n.,namnet - o nome
52. Tentar,Försöka,Han försökte igen.,Han försöker igen.,Han ska försöka igen.,igen - de novo
53. Mostrar,Visa,Hon visade vägen.,Hon visar vägen.,Hon ska visa vägen.,vägen - o caminho
54. Enviar,Skicka,Vi skickade paketet.,Vi skickar paketet.,Vi ska skicka p.,paketet - o pacote
55. Acontecer,Hända,Det hände igår.,Det händer nu.,Det ska hända snart.,snart - logo/em breve
56. Ganhar/Vencer,Vinna,Ni vann priset.,Ni vinner priset.,Ni ska vinna priset.,priset - o prêmio
57. Perder,Förlora,De förlorade matchen.,De förlorar matchen.,De ska förlora m.,matchen - o jogo/partida
58. Pagar,Betala,Jag betalade notan.,Jag betalar notan.,Jag ska betala notan.,notan - a conta (rest.)
59. Ligar (tel.),Ringa,Du ringde hem.,Du ringar hem.,Du ska ringa hem.,hem - para casa
61. Significar,Betyda,Vad betydde det?,Vad betyder det?,Vad ska det betyda?,vad - o quê
62. Trazer,Ta med,Hon tog med hunden.,Hon tar med hunden.,Hon ska ta med h.,hunden - o cão
63. Mudar,Ändra,Vi ändrade allt.,Vi ändrar allt.,Vi ska ändra allt.,allt - tudo
64. Escolher,Välja,Ni valde rätt.,Ni väljer rätt.,Ni ska välja rätt.,rätt - certo/correto
65. Esperar (esp.),Hoppas,De hoppades på tur.,De hoppas på tur.,De ska hoppas på tur.,tur - sorte
66. Sorrir,Le,Jag log mot dig.,Jag ler mot dig.,Jag ska le mot dig.,mot - para/em direção a
67. Chorar,Gråta,Du grät mycket.,Du gråter mycket.,Du ska gråta mycket.,mycket - muito
68. Lavar,Tvätta,Han tvättade bilen.,Han tvättar bilen.,Han ska tvätta bilen.,bilen - o carro
69. Limpar,Städa,Hon städade rummet.,Hon städar rummet.,Hon ska städa rummet.,rummet - o quarto
70. Abrir,Öppna,Vi öppnade dörren.,Vi öppnar dörren.,Vi ska öppna dörren.,dörren - a porta
71. Fechar,Stänga,Ni stängde fönstret.,Ni stänger fönstret.,Ni ska stänga f.,fönstret - a janela
72. Cozinhar,Laga,De lagade maten.,De lagar maten.,De ska laga maten.,maten - a comida
74. Lembrar,Minnas,Du mindes allt.,Du minns allt.,Du ska minnas allt.,allt - tudo
75. Contar (nar.),Berätta,Han berättade det.,Han berättar det.,Han ska berätta det.,det - isso
76. Parecer,Verka,Det verkade bra.,Det verkar bra.,Det ska verka bra.,bra - bom/bem
77. Precisar (ter de),Måste,Jag måste gå.,Jag måste gå.,Jag ska måste gå.*,gå - ir/andar
78. Comprar,Handla,Hon handlade mat.,Hon handlar mat.,Hon ska handla mat.,mat - comida
79. Pedir,Be,Vi bad om hjälp.,Vi ber om hjälp.,Vi ska be om hjälp.,om - sobre/por
80. Receber/Ficar,Bli,Ni blev glada.,Ni blir glada.,Ni ska bli glada.,glada - felizes (pl.)
81. Usar (vestir),Ha på sig,De hade på sig det.,De har på sig det.,De ska ha på sig det.,det - isso
83. Explicar,Förklara,Du förklarade allt.,Du förklarar allt.,Du ska förklara allt.,allt - tudo
84. Prometer,Lova,Han lovade guld.,Han lovar guld.,Han ska lova guld.,guld - ouro
85. Desenhar,Rita,Hon ritade huset.,Hon ritar huset.,Hon ska rita huset.,huset - a casa
86. Cantar,Sjunga,Vi sjöng högt.,Vi sjunger högt.,Vi ska sjunga högt.,högt - alto (volume)
87. Dançar,Dansa,Ni dansade bra.,Ni dansar bra.,Ni ska dansa bra.,bra - bem
88. Jogar (brincar),Spela,De spelade kort.,De spelar kort.,De ska spela kort.,kort - cartas/baralho
89. Beijar,Kyssa,Jag kysste dig.,Jag kysser dig.,Jag ska kyssa dig.,dig - você (obj.)
90. Escutar,Höra,Du hörde ljudet.,Du hör ljudet.,Du ska höra ljudet.,ljudet - o som
91. Parar,Stanna,Han stannade där.,Han stannar där.,Han ska stanna där.,där - lá
92. Continuar,Fortsätta,Hon fortsatte läsa.,Hon fortsätter läsa.,Hon ska fortsätta l.,läsa - ler
93. Acontecer,Ske,Det skedde nyss.,Det sker nyss.,Det ska ske nyss.,nyss - agorinha
94. Crescer,Växa,Vi växte snabbt.,Vi växer snabbt.,Vi ska växa snabbt.,snabbt - rápido
95. Cair,Falla,Ni föll ner.,Ni faller ner.,Ni ska falla ner.,ner - para baixo
96. Gritar,Skrika,De skrek högt.,De skriker högt.,De ska skrika högt.,högt - alto
97. Ganhar (dinheiro),Tjäna,Jag tjänade pengar.,Jag tjänar pengar.,Jag ska tjäna p.,pengar - dinheiro
98. Pintar,Måla,Du målade tavlan.,Du målar tavlan.,Du ska måla tavlan.,tavlan - o quadro
99. Desejar,Önska,Han önskade lycka.,Han önskar lycka.,Han ska önska lycka.,lycka - felicidade
124. Lembrar,Minns,Vi mindes resan.,Vi minns resan.,Vi ska minnas r.,resan - a viagem
